Cell	Exp
4384	184.0942562592047
4389	241.6626389560174
4391	269.3965517241379
4393	56.64759530957911
4421	344.376334458296
4434	158.22784810126583
4435	161.39444803098775
4440	121.07270415884739
4442	52.66484095218033
4447	57.77675063554425
4453	292.6972047416947
4466	146.02803738317758
4473	69.8616738857063
4474	106.26992561105207
4489	189.25056775170324
4491	281.7695125387433
4497	226.60321776569228
4498	121.72854534388314
4505	156.66614444618517
4518	43.67956669869835
4521	139.58682300390842
4526	129.98830105290523
4539	31.130342745073623
4542	300.70666065253346
4568	173.7619461337967
4574	91.79364787956673
4575	160.74586079408456
4578	106.71219720414044
4580	187.86398647379298
4582	180.11527377521614
4604	154.8467017652524
4618	201.1667672500503
4627	75.25020693806908
4629	275.63395810363835
4641	89.85129610494631
4648	107.49991041674133
4649	135.4462955438169
4655	42.736869096969954
4657	153.42129487572876
4662	59.81218972426581
4673	71.88555819135935
4676	146.99397324709687
4677	246.3661000246366
4682	53.951982735365526
4685	59.97361161089121
4692	303.21406913280777
4698	91.02494083378846
4705	269.323996768112
4715	244.2598925256473
4717	122.30919765166341
4720	78.83948281299274
4732	346.98126301179735
4769	124.1387871640494
4779	95.52010698251982
4784	84.82483671218932
4785	157.51752382452548
4786	59.031877213695395
4817	248.75621890547265
4856	144.75969889982628
4857	224.76961114857272
4865	303.7667071688943
4880	300.84235860409143
4889	219.10604732690624
4895	64.80041472265422
4900	52.12133847597206
4906	50.9761941173472
4924	171.79178835251676
4930	152.02189115232594
4934	51.61823155938678
4957	124.89072061945798
4961	124.73493825620557
4963	76.13247049866769
4969	110.52166224580017
4973	192.75250578257518
4991	49.716615292830866
4998	173.70158068438423
5002	403.5512510088781
5009	224.9212775528565
5015	235.73785950023574
5037	66.49378283130527
5046	72.73785277858597
5050	105.50749103186327
5052	91.76837661741764
5053	183.75597206909225
5055	38.89385865971763
5058	49.838026414154
5067	108.14318157240186
5073	206.782464846981
5090	382.4823101931536
5095	298.41838257236645
5100	193.6858415649816
5101	81.24136810463888
5126	273.6726874657909
5133	166.79176048703195
5146	130.07284079084286
5148	117.13716762328687
5149	129.81955082435414
5150	207.72746157041962
5151	141.2030499858797
5157	269.2877339437189
5158	39.939292275740875
5168	212.81123643328368
5195	187.51171948246764
5200	97.7230528681716
5215	297.441998810232
5217	192.0860545524395
5220	128.2051282051282
5227	67.28569506122999
5228	111.70688114387846
5238	92.79020135473694
5240	221.8770800976259
5252	38.67125565567114
5255	236.12750885478158
5264	178.06267806267806
5270	141.7032733456143
5281	59.8551505357036
5293	129.5336787564767
5295	274.80076944215443
5297	370.71362372567194
5301	52.30672664504655
5304	121.9958521410272
5311	41.937513105472846
5313	78.91414141414141
5316	107.56157900397977
5328	90.63717937097798
5331	205.54984583761563
5333	77.63975155279503
5335	212.94718909710392
5339	117.000117000117
5340	92.60116677470135
5346	42.163848716110806
5351	98.25112988799371
5354	114.82374555057986
5357	92.56687957048968
5360	62.79829188646069
5372	92.41290084095739
5374	114.96895838123707
5379	295.68302779420463
5390	206.9108214359611
5393	95.96928982725528
5402	47.630388187663726
5415	316.45569620253167
5416	178.44396859386154
5419	326.47730982696703
5423	124.19274714356682
5425	59.98440405494571
5428	91.31586156515387
5451	96.33911368015414
5467	150.4438092372499
5468	339.5585738539898
5477	174.3071291615827
5488	177.14791851195747
5496	185.54596901382317
5508	85.17162081594412
5510	73.21180174244088
5512	202.2040238600748
5516	79.1514959632737
5528	26.938929446943778
5530	220.07042253521126
5544	89.4134477825465
5551	135.92496941688188
5563	167.11229946524065
5567	74.4324525493115
5585	50.57401507105649
5586	473.260766682442
5599	238.32221163012392
5619	166.63889351774705
5623	58.39245569472424
5624	140.39028499227854
5630	135.63000135630003
5632	47.97313504437515
5634	126.13521695257316
5644	143.12294260770003
5645	188.07598269700958
5651	151.1030522816561
5656	78.95152376440865
5673	147.38393515106853
5681	118.0776951233912
5697	179.3400286944046
5705	215.610176800345
5711	206.61157024793388
5716	1035.9116022099447
5720	405.0222762251924
5724	78.72156183578682
5737	245.7002457002457
5749	124.30080795525171
5780	88.10572687224669
5785	149.05351021016546
